PrimaryBus,SecondaryBus,LoadNames,Load_kW,PVNames,PV_kW
L2973169.1,SX2973169A,21397304A0a;21397304A0b,2.87835152626038;2.44164847373962,,
L3160106.1,SX3160106A,310570A0a;310570A0b,6.49223088622093;2.37776911377907,PV_1087,8.87
L2842384.3,SX2842384C,260637C0a;260637C0b,1.10073633551598;2.96926366448402,,
L2767341.3,SX2767341C,260577C0a;260577C0b,1.47948966145515;13.7805103385448,,
L3189188.3,SX3189188C,293658C0a;293658C0b,11.1231477463245;9.21685225367546,,
L2710544.1,SX2710544A,21482279A0a;21482279A0b,0.473355309963226;4.84664469003677,PV_1053,5.32
L3160123.1,SX3160123A,21015706A0a;21015706A0b,3.38795923471451;1.93204076528549,,
L2991927.2,SX2991927B,355607B0a;355607B0b,8.80916365802288;0.92083634197712,,
L3122847.1,SX3122847A,21483138A0a;21483138A0b,2.36962978601456;2.95037021398544,,
L3008232.2,SX3008232B,226192492B0a;226192492B0b,0.483785769939423;3.40621423006058,,
L3179607.2,SX3179607B,260591B0a;260591B0b,3.18160814166069;6.54839185833931,,
L2673346.3,SX2673346C,293486C0a;293486C0b,8.13033658862114;2.03966341137886,,
L3104127.2,SX3104127B,337690B0a;337690B0b,1.27254199683666;8.45745800316334,,
L3195321.1,SX3195321A,356805A0a;356805A0b,2.20602944612503;3.11397055387497,,
L2673303.3,SX2673303C,338963C0a;338963C0b,3.68141440749168;2.41858559250832,,
L2895461.1,SX2895461A,294789A0a;294789A0b,5.81175092697143;3.05824907302856,,
L3027116.1,SX3027116A,226192684A0a;226192684A0b,0.591684069633484;4.72831593036652,,
L2992657.1,SX2992657A,21475841A0a;21475841A0b,4.34478009164333;4.52521990835667,PV_1149,8.87
L3104154.3,SX3104154C,337642C0a;337642C0b,9.52007815599442;5.73992184400558,,
L3010580.2,SX3010580B,21451973B0a;21451973B0b,4.12593942642212;1.71406057357788,,
L3727710.1,SX3727710A,2224386863A0a;2224386863A0b,11.3800475955009;1.91995240449905,,
L2692664.3,SX2692664C,351021C0a;351021C0b,1.28434960842133;4.81565039157867,,
L3215385.1,SX3215385A,21384099A0a;21384099A0b,1.94848714470863;11.3515128552914,,
L3215385.2,SX3215385B,21384099B0a;21384099B0b,0.469849932193756;18.9801500678062,,
L3215385.3,SX3215385C,21384099C0a;21384099C0b,12.0786615908146;3.18133840918541,,
L2860493.1,SX2860493A,21397645A0a;21397645A0b,4.16632974743843;4.70367025256157,,
L3177881.3,SX3177881C,227896008C0a;227896008C0b,2.27517071306705;7.89482928693294,,
L3727709.1,SX3727709A,2224386842A0a;2224386842A0b,4.0144181907177;9.2855818092823,,
L2785528.2,SX2785528B,138752B0a;138752B0b,4.17620378494263;1.66379621505737,,
L2973171.2,SX2973171B,339012B0a;339012B0b,5.18177913367748;4.54822086632252,,
L2785523.3,SX2785523C,138412C0a;138412C0b,2.53578065633774;3.56421934366226,PV_1065,6.1
L3649300.1,SX3649300A,2224237546A0a;2224237546A0b,3.4337427675724;9.8662572324276,,
L2748133.3,SX2748133C,302861C0a;302861C0b,3.29357364177704;2.80642635822296,,
L3233353.1,SX3233353A,21399630A0a;21399630A0b,1.62601453542709;3.69398546457291,,
L2785547.2,SX2785547B,337705B0a;337705B0b,4.5058210682869;5.2241789317131,,
L2897800.2,SX2897800B,323277B0a;323277B0b,2.92624861955643;0.963751380443573,,
L2991939.2,SX2991939B,337652B0a;337652B0b,6.08343004405499;3.64656995594502,,
L2948732.2,SX2948732B,225571845B0a;225571845B0b,9.89971160888672E-03;5.83010028839111,,
L0247162.2,SX0247162B,247162B0a;247162B0b,2.80735771179199;3.03264228820801,,
L2879065.2,SX2879065B,247126B0a;247126B0b,2.55799276232719;1.33200723767281,,
L3104121.1,SX3104121A,138561A0a;138561A0b,6.50350156784058;2.36649843215942,,
L2763153.1,SX2763153A,293425A0a;293425A0b,2.78262703359127;6.08737296640873,,
L2766724.3,SX2766724C,294786C0a;294786C0b,0.224778670072556;5.87522132992744,,
L2805031.3,SX2805031C,260491C0a;260491C0b,2.22069662094116;13.0393033790588,,
L2805036.2,SX2805036B,275248B0a;275248B0b,1.85178704321384;2.03821295678616,PV_1123,3.89
L3197625.3,SX3197625C,339044C0a;339044C0b,4.27275083661079;1.82724916338921,,
L3142049.3,SX3142049C,356810C0a;356810C0b,2.36853847682476;1.70146152317524,,
L3342743.3,SX3342743C,2223703238C0a;2223703238C0b,3.86551551759243;0.20448448240757,,
L2785524.3,SX2785524C,2044328C0a;2044328C0b,1.14949578642845;4.95050421357155,,
L2973166.3,SX2973166C,293665C0a;293665C0b,7.3414112842083;2.8285887157917,,
L3225319.2,SX3225319B,225533675B0a;225533675B0b,9.19500540077686;5.39499459922314,,
L3270814.1,SX3270814A,226191850A0a;226191850A0b,8.2274944871664;0.642505512833596,,
L3122814.3,SX3122814C,338899C0a;338899C0b,4.04621676206589;2.05378323793411,,
L2897770.3,SX2897770C,337628C0a;337628C0b,7.53994589567184;2.63005410432816,,
L3197634.2,SX3197634B,355767B0a;355767B0b,10.4354011934996;4.15459880650043,,
L3030204.1,SX3030204A,20107636A0a;20107636A0b,2.01549320161343;6.85450679838657,,
L3102286.2,SX3102286B,226308729B0a;226308729B0b,8.11326957583427;21.0667304241657,,
L2801909.3,SX2801909C,226195333C0a;226195333C0b,3.6597389960289;0.4102610039711,,
L3122811.1,SX3122811A,337669A0a;337669A0b,7.54998049676418;1.32001950323582,,
L2822869.1,SX2822869A,338942A0a;338942A0b,8.38227840900421;0.487721590995788,,
L3086098.1,SX3086098A,21474556A0a;21474556A0b,5.98066734671593;11.7593326532841,,
L3120504.1,SX3120504A,225897846A0a;225897846A0b,2.04000046253204;3.27999953746796,,
L3727712.1,SX3727712A,2224386889A0a;2224386889A0b,3.89430335044861;4.97569664955139,,
L3101789.1,SX3101789A,294842A0a;294842A0b,3.93786132574081;4.93213867425919,,
L3254210.3,SX3254210C,138647C0a;138647C0b,6.07667944431305;2.33205556869507E-02,,
L2730187.1,SX2730187A,260464A0a;260464A0b,1.74190418720245;11.5580958127975,,
L3216367.2,SX3216367B,337648B0a;337648B0b,8.28240725100041;1.4475927489996,,
L2710509.3,SX2710509C,275000C0a;275000C0b,5.9329089820385;0.167091017961502,,
L3066805.1,SX3066805A,337674A0a;337674A0b,5.30264739692211;3.56735260307789,,
L3197661.3,SX3197661C,338932C0a;338932C0b,0.710347980260849;5.38965201973915,,
L3179608.3,SX3179608C,356793C0a;356793C0b,12.275591006279;2.98440899372101,,
L2916234.1,SX2916234A,228549643A0a;228549643A0b,1.89134802222252;1.65865197777748,,
L3085402.1,SX3085402A,302471A0a;302471A0b,8.88826597332954;4.41173402667046,,
L2875754.3,SX2875754C,225897943C0a;225897943C0b,16.4491888582706;3.89081114172935,,
L2860478.2,SX2860478B,355590B0a;355590B0b,0.203747134208679;5.63625286579132,,
L2766732.2,SX2766732B,247164B0a;247164B0b,2.88989612519741;1.00010387480259,,
L3198355.2,SX3198355B,207288B0a;207288B0b,2.35699640452862;1.53300359547138,,
L3065665.1,SX3065665A,227895952A0a;227895952A0b,8.29764414429665;0.572355855703353,,
L2897771.2,SX2897771B,21148701B0a;21148701B0b,1.37079155445099;4.46920844554901,,
L2785516.2,SX2785516B,138294B0a;138294B0b,0.979905409812927;4.86009459018707,,
L2729206.3,SX2729206C,2212168866C0a;2212168866C0b,6.44641427397728;8.81358572602272,,
L3195310.1,SX3195310A,226192185A0a;226192185A0b,6.99592905700207;1.87407094299793,,
L3232301.3,SX3232301C,21458756C0a;21458756C0b,6.91356873273849;23.6064312672615,,
L3048946.3,SX3048946C,260624C0a;260624C0b,3.764842659235;2.335157340765,,
L2861157.3,SX2861157C,251867C0a;251867C0b,2.71486888468266;7.45513111531734,,
L3029183.2,SX3029183B,228580047B0a;228580047B0b,0.284720788002014;5.55527921199799,,
L3085396.1,SX3085396A,138684A0a;138684A0b,3.91537283182144;4.95462716817856,,
L2748146.1,SX2748146A,138570A0a;138570A0b,0.57196382522583;4.74803617477417,,
L2691954.2,SX2691954B,21399361B0a;21399361B0b,5.34469900488854;4.38530099511147,,
L2895449.3,SX2895449C,226193134C0a;226193134C0b,8.47118996143341;1.69881003856659,,
L2991911.3,SX2991911C,138258C0a;138258C0b,0.932027059793472;5.16797294020653,,
L2785515.3,SX2785515C,293609C0a;293609C0b,3.74232996225357;6.42767003774643,,
L2804262.1,SX2804262A,355938A0a;355938A0b,2.67490291118622;2.64509708881378,,
L0247160.2,SX0247160B,247160B0a;247160B0b,0.894048733711243;4.94595126628876,,
L2785537.1,SX2785537A,338975A0a;338975A0b,2.59289884805679;2.72710115194321,,
L3122819.3,SX3122819C,302860C0a;302860C0b,4.82540237307549;10.4345976269245,,
L2804245.2,SX2804245B,355598B0a;355598B0b,4.7670691037178;4.9629308962822,,
L2879068.2,SX2879068B,323254B0a;323254B0b,6.76869113862515;2.96130886137485,,
L2767409.2,SX2767409B,21391242B0a;21391242B0b,6.97354046583176;2.75645953416824,PV_1095,9.73
L2685809.1,SX2685809A,225533162A0a;225533162A0b,2.06569005250931;3.25430994749069,,
L3197637.3,SX3197637C,138585C0a;138585C0b,0.863561273217201;3.2064387267828,PV_1165,4.07
L3066818.2,SX3066818B,138751B0a;138751B0b,9.59230809271336;0.137691907286644,,
L2763407.3,SX2763407C,225906836C0a;225906836C0b,3.98690813004971;6.18309186995029,,
L2711226.2,SX2711226B,260527B0a;260527B0b,5.37856595158577;4.35143404841423,,
L3160109.2,SX3160109B,338947B0a;338947B0b,4.19789376020432;5.53210623979569,,
L2710516.1,SX2710516A,321839A0a;321839A0b,2.85315470635891;6.01684529364109,,
L3197641.1,SX3197641A,293591A0a;293591A0b,0.773270452022553;4.54672954797745,PV_1073,5.32
L2954351.3,SX2954351C,302805C0a;302805C0b,2.45353479385376;3.64646520614624,,
L2804272.2,SX2804272B,338993B0a;338993B0b,1.32707618236542;4.51292381763458,PV_1043,5.84
L2785519.1,SX2785519A,138566A0a;138566A0b,8.3076517778635;0.562348222136498,,
L2955006.3,SX2955006C,356797C0a;356797C0b,1.27219563961029;8.89780436038971,,
L3104123.3,SX3104123C,338924C0a;338924C0b,2.77503305077553;3.32496694922447,,
L2729414.1,SX2729414A,293655A0a;293655A0b,4.69899237513542;4.17100762486458,,
L2729414.2,SX2729414B,293655B0a;293655B0b,7.34667829096317;2.38332170903683,,
L2729414.3,SX2729414C,293655C0a;293655C0b,7.82381235837936;2.34618764162064,,
L2692660.1,SX2692660A,260643A0a;260643A0b,2.69235214114189;15.0476478588581,,
L2897793.1,SX2897793A,338987A0a;338987A0b,1.31604890823364;2.23395109176636,,
L3235266.3,SX3235266C,302807C0a;302807C0b,9.61248180091381;0.557518199086189,,
L2915534.1,SX2915534A,227917122A0a;227917122A0b,4.0695081949234;9.2304918050766,,
L2804259.1,SX2804259A,2127372A0a;2127372A0b,3.1552066475153;5.7147933524847,,
L2764399.2,SX2764399B,226192493B0a;226192493B0b,5.31632022380829;0.523679776191711,,
L2822863.3,SX2822863C,337635C0a;337635C0b,0.721322948336601;3.3486770516634,,
L3217057.1,SX3217057A,218475A0a;218475A0b,1.9275314450264;1.6224685549736,,
L3215203.1,SX3215203A,227760024A0a;227760024A0b,6.43526736617088;11.3047326338291,PV_1113,17.74
L3215203.2,SX3215203B,227760024B0a;227760024B0b,0.853043735027313;18.5969562649727,,
L3215203.3,SX3215203C,227760024C0a;227760024C0b,4.61817288279533;15.7218271172047,PV_1179,20.34
L3048221.1,SX3048221A,21399305A0a;21399305A0b,0.494469830989838;8.37553016901016,,
L2767408.3,SX2767408C,260517C0a;260517C0b,3.10380816459656E-02;6.06896191835403,,
L3122848.3,SX3122848C,21397121C0a;21397121C0b,0.587292963266373;5.51270703673363,,
L2841635.1,SX2841635A,21399099A0a;21399099A0b,1.89153039216995;3.42846960783005,,
L2973162.2,SX2973162B,302375B0a;302375B0b,2.63841029167175;3.20158970832825,,
L3122821.2,SX3122821B,338953B0a;338953B0b,0.819766739010811;8.91023326098919,,
L3123452.3,SX3123452C,260574C0a;260574C0b,4.83920038104057;5.33079961895943,,
L3029500.1,SX3029500A,391992A0a;391992A0b,7.64502050101757;1.22497949898243,,
L3216344.2,SX3216344B,323264B0a;323264B0b,2.24885686337948;17.2011431366205,,
L2748125.3,SX2748125C,338962C0a;338962C0b,5.60470898151398;4.56529101848602,,
L2785520.2,SX2785520B,138755B0a;138755B0b,1.23461380779743;2.65538619220257,,
L3104119.1,SX3104119A,338956A0a;338956A0b,8.77237891554832;9.76210844516761E-02,,
L2710517.1,SX2710517A,310568A0a;310568A0b,1.20258293151855;4.11741706848145,,
L3048227.1,SX3048227A,337647A0a;337647A0b,1.03354127764702;7.83645872235298,,
L3048209.2,SX3048209B,2120195B0a;2120195B0b,9.50640078604221;0.223599213957787,,
L3216370.1,SX3216370A,293521A0a;293521A0b,3.22647658586502;0.323523414134979,,
L3216370.2,SX3216370B,293521B0a;293521B0b,0.524968878626823;3.36503112137318,,
L3216370.3,SX3216370C,293521C0a;293521C0b,2.86108752846718;1.20891247153282,,
L3066819.1,SX3066819A,302677A0a;302677A0b,7.1874820047617;1.6825179952383,,
L2673314.3,SX2673314C,355778C0a;355778C0b,2.71430232226849;1.35569767773151,,
L3197643.2,SX3197643B,302369B0a;302369B0b,8.87313655495644;0.856863445043563,,
L2803194.3,SX2803194C,227917130C0a;227917130C0b,14.8221690678596;0.437830932140351,,
L2916617.2,SX2916617B,339007B0a;339007B0b,9.59592584073544;0.134074159264564,,
L3778577.3,SX3778577C,2224490448C0a;2224490448C0b,3.41118394374847;6.75881605625153,,
L2991916.2,SX2991916B,337710B0a;337710B0b,0.835936993956566;8.89406300604344,,
L2897554.3,SX2897554C,2212168870C0a;2212168870C0b,9.86830701828003;10.47169298172,,
L3141397.2,SX3141397B,21396796B0a;21396796B0b,8.09084581136704;1.63915418863296,,
L2916608.3,SX2916608C,321852C0a;321852C0b,3.86245959997177E-02;4.03137540400028,,
L3082983.2,SX3082983B,226193899B0a;226193899B0b,8.66618663728237;1.06381336271763,,
L2804248.2,SX2804248B,323244B0a;323244B0b,3.67350088059902;0.216499119400978,,
L2841639.1,SX2841639A,355937A0a;355937A0b,8.47601729929447;0.393982700705529,,
L3197645.1,SX3197645A,21395962A0a;21395962A0b,1.81293444752693;7.05706555247307,,
L2730108.3,SX2730108C,223661C0a;223661C0b,4.02298564910889;2.07701435089111,,
L2897806.3,SX2897806C,337643C0a;337643C0b,2.92408536076546;3.17591463923454,,
L3178977.3,SX3178977C,302810C0a;302810C0b,2.53858683109283;3.56141316890717,,
L2841631.3,SX2841631C,391976C0a;391976C0b,0.220863223671913;9.94913677632809,,
L3235945.3,SX3235945C,356796C0a;356796C0b,4.55182959616184;5.61817040383816,,
L2748839.2,SX2748839B,260502B0a;260502B0b,1.99224375128746;1.89775624871254,,
L2989571.1,SX2989571A,225991691A0a;225991691A0b,2.87558866262436;2.44441133737564,,
L3552667.3,SX3552667C,2224061203C0a;2224061203C0b,3.9708880251646;6.1991119748354,,
L3216347.3,SX3216347C,138413C0a;138413C0b,4.66030400395393;1.43969599604607,PV_1045,6.1
L2897789.2,SX2897789B,323287B0a;323287B0b,4.32766241073608;1.51233758926392,PV_1173,5.84
L3160100.2,SX3160100B,321847B0a;321847B0b,3.94550325870514;1.89449674129486,,
L2973156.2,SX2973156B,337687B0a;337687B0b,3.07892239570618;2.76107760429382,,
L3048214.1,SX3048214A,302474A0a;302474A0b,0.604771621823311;8.26522837817669,,
L2766719.1,SX2766719A,21357865A0a;21357865A0b,5.77145446002483;3.09854553997517,,
L2729401.2,SX2729401B,355597B0a;355597B0b,4.15396528720856;1.68603471279144,,
L2991640.3,SX2991640C,229106135C0a;229106135C0b,1.03906681656837;3.03093318343163,,
L3139366.1,SX3139366A,226264795A0a;226264795A0b,3.26262494564056;5.60737505435944,,
L2728247.1,SX2728247A,337729A0a;337729A0b,1.70812492966652;1.84187507033348,,
L2728247.2,SX2728247B,337729B0a;337729B0b,0.961845992207527;8.76815400779247,,
L2728247.3,SX2728247C,337729C0a;337729C0b,3.63821730136871;0.431782698631287,,
L2673306.3,SX2673306C,293608C0a;293608C0b,8.96490900814533;1.20509099185467,,
L2954357.1,SX2954357A,355936A0a;355936A0b,5.1074862241745;8.1925137758255,,
L3141395.3,SX3141395C,2149184C0a;2149184C0b,2.30639136850834;7.86360863149166,,
L2876796.1,SX2876796A,226193338A0a;226193338A0b,3.99667583703995;1.32332416296005,,
L3197642.3,SX3197642C,391979C0a;391979C0b,4.82328501939774;1.27671498060226,,
L3254873.3,SX3254873C,251862C0a;251862C0b,6.05969550609589;4.03044939041139E-02,,
L2822858.2,SX2822858B,355591B0a;355591B0b,6.73918022036552;2.99081977963448,,
L3728040.1,SX3728040A,2224387062A0a;2224387062A0b,3.84997580051422;9.45002419948578,,
L3157710.2,SX3157710B,226193361B0a;226193361B0b,0.894911303520203;4.9450886964798,,
L2710514.2,SX2710514B,323267B0a;323267B0b,8.10525880813599;1.62474119186401,,
L2763072.2,SX2763072B,226924200B0a;226924200B0b,1.60632825791836;8.12367174208164,,
L2710519.1,SX2710519A,302676A0a;302676A0b,2.44636772871017;1.10363227128983,,
L3727711.1,SX3727711A,2224386874A0a;2224386874A0b,0.15752888917923;5.16247111082077,,
L2691936.1,SX2691936A,356009A0a;356009A0b,1.07928685188293;4.24071314811707,,
L2841638.3,SX2841638C,138641C0a;138641C0b,0.905626183748245;5.19437381625175,PV_1067,6.1
L3254209.3,SX3254209C,337714C0a;337714C0b,6.07504448413849;9.18495551586151,,
L3010557.1,SX3010557A,21380453A0a;21380453A0b,2.05336450338364;3.26663549661636,,
L2820528.3,SX2820528C,226191778C0a;226191778C0b,5.20001341760159;4.96998658239841,,
L3251808.1,SX3251808A,226029836A0a;226029836A0b,0.584872198104858;4.73512780189514,,
L3649305.1,SX3649305A,2224237718A0a;2224237718A0b,2.08292742967606;3.23707257032394,,
L3157718.1,SX3157718A,226194093A0a;226194093A0b,4.56400497674942;0.75599502325058,,
L3010569.1,SX3010569A,302673A0a;302673A0b,7.3609078347683;5.93909216523171,,
L2785527.1,SX2785527A,293522A0a;293522A0b,2.38117844820023;2.93882155179977,,
L3047073.3,SX3047073C,227917133C0a;227917133C0b,3.57038176596165;6.59961823403835,,
L3649306.1,SX3649306A,2224238167A0a;2224238167A0b,10.9526281833649;2.34737181663513,,
L2973161.1,SX2973161A,293592A0a;293592A0b,4.30104428529739;8.99895571470261,,
L2688692.2,SX2688692B,225918926B0a;225918926B0b,2.70677817344666;3.13322182655334,,
L3254220.3,SX3254220C,138717C0a;138717C0b,2.24819816172123;7.92180183827877,,
L3141389.1,SX3141389A,356007A0a;356007A0b,4.82313545703888;0.496864542961121,,
L3197618.1,SX3197618A,356008A0a;356008A0b,2.84192377328873;2.47807622671127,,
L3143999.1,SX3143999A,226193696A0a;226193696A0b,2.54193311035633;6.32806688964367,PV_1089,8.87
L2691949.2,SX2691949B,337689B0a;337689B0b,8.4117826294899;1.3182173705101,,
L3066807.3,SX3066807C,337624C0a;337624C0b,1.11292361736298;2.95707638263702,,
L2876812.1,SX2876812A,321880A0a;321880A0b,4.82189814567566;0.498101854324341,,
L2841634.2,SX2841634B,392038B0a;392038B0b,9.26179572939873;5.32820427060127,,
L3235245.3,SX3235245C,337712C0a;337712C0b,5.07683407068253;1.02316592931747,,
L3104135.1,SX3104135A,21399508A0a;21399508A0b,1.97890956163406;3.34109043836594,,
L2952014.1,SX2952014A,294809A0a;294809A0b,2.09715175390244;3.22284824609756,,
L3048205.3,SX3048205C,274994C0a;274994C0b,7.15937080979347;3.01062919020653,,
L2861223.2,SX2861223B,260461B0a;260461B0b,4.46131198048592;5.26868801951408,,
L2936268.3,SX2936268C,223655C0a;223655C0b,3.17055389285088;2.92944610714912,,
L2879055.3,SX2879055C,138465C0a;138465C0b,3.90297761797905;0.16702238202095,,
L2690941.2,SX2690941B,323387B0a;323387B0b,5.02426848590374;4.70573151409626,,
L2897773.1,SX2897773A,338918A0a;338918A0b,2.69971876442432;0.850281235575676,,
L3104850.3,SX3104850C,260561C0a;260561C0b,8.04962442934513;2.12037557065487,,
L3139086.2,SX3139086B,226192846B0a;226192846B0b,6.21023333013058;3.51976666986942,,
L3727707.1,SX3727707A,2224386750A0a;2224386750A0b,4.70037702262402;4.16962297737598,,
L3030126.3,SX3030126C,260576C0a;260576C0b,9.27847522258759;0.891524777412414,,
L2879079.2,SX2879079B,391756B0a;391756B0b,3.49347107887268;2.34652892112732,,
L3066821.1,SX3066821A,391994A0a;391994A0b,7.69704496920109;1.17295503079891,,
L3254204.1,SX3254204A,337715A0a;337715A0b,3.18088049650192;2.13911950349808,,
L2748135.1,SX2748135A,2150172A0a;2150172A0b,3.76683330535889;5.10316669464111,,
L2841623.1,SX2841623A,294844A0a;294844A0b,3.47148282527924;1.84851717472076,,
L2954349.2,SX2954349B,337699B0a;337699B0b,5.37674489855766;4.35325510144234,,
L2801902.2,SX2801902B,226194002B0a;226194002B0b,9.13357026457787;5.45642973542213,,
L2729434.2,SX2729434B,321851B0a;321851B0b,0.743569288253784;5.09643071174622,,
L3048962.1,SX3048962A,260555A0a;260555A0b,1.90191990733147;11.3980800926685,,
L2857591.1,SX2857591A,226101460A0a;226101460A0b,4.50391166210175;0.816088337898255,,
L3048890.3,SX3048890C,2128517C0a;2128517C0b,2.07767812371254;8.09232187628746,,
L2936211.3,SX2936211C,260567C0a;260567C0b,4.17217430472374;1.92782569527626,,
L2820535.2,SX2820535B,338981B0a;338981B0b,4.37755282044411;5.35244717955589,,
L3097861.3,SX3097861C,225533215C0a;225533215C0b,1.87491717338562;2.19508282661438,,
L3141390.2,SX3141390B,391743B0a;391743B0b,4.8070638358593;4.9229361641407,,
L3141412.1,SX3141412A,391996A0a;391996A0b,1.73467152833939;3.58532847166061,,
L2991920.1,SX2991920A,2118822A0a;2118822A0b,2.05706851005554;3.26293148994446,,
L3160861.3,SX3160861C,260558C0a;260558C0b,1.90033051133156;2.16966948866844,,
L2876813.1,SX2876813A,355842A0a;355842A0b,2.86290803849697;6.00709196150303,,
L2729410.3,SX2729410C,338943C0a;338943C0b,3.40552162349224;6.76447837650776,,
L2841637.3,SX2841637C,293492C0a;293492C0b,0.278567849993706;9.89143215000629,,
L3122817.3,SX3122817C,355779C0a;355779C0b,2.63933279514313;3.46066720485687,,
L3086079.2,SX3086079B,260457B0a;260457B0b,2.90031623840332;0.98968376159668,,
L3179699.2,SX3179699B,21393454B0a;21393454B0b,1.86955611407757;12.7204438859224,,
L3085390.2,SX3085390B,321848B0a;321848B0b,1.4021152305603;4.4378847694397,,
L2897767.3,SX2897767C,338960C0a;338960C0b,5.12621897578239;5.04378102421761,PV_1081,10.17
L3104124.2,SX3104124B,356065B0a;356065B0b,3.52111369132996;2.31888630867004,,
L2804251.1,SX2804251A,138646A0a;138646A0b,2.13520937860012;1.41479062139988,,
L3066808.3,SX3066808C,337654C0a;337654C0b,5.03170221447945;1.06829778552055,,
L2897774.2,SX2897774B,337691B0a;337691B0b,3.66223540306091;2.17776459693909,,
L3104115.2,SX3104115B,391738B0a;391738B0b,3.45472510755062;0.435274892449379,,
L0247171.2,SX0247171B,247171B0a;247171B0b,2.87268362522125;2.96731637477875,,
L3214055.3,SX3214055C,226192175C0a;226192175C0b,2.1762194275856;3.9237805724144,,
L3104830.3,SX3104830C,328367C0a;328367C0b,2.96367679595947;1.10632320404053,,
L3254211.2,SX3254211B,247084B0a;247084B0b,8.38545623421669;1.34454376578331,,
L2729407.2,SX2729407B,247100B0a;247100B0b,5.83493074893951;5.06925106048595E-03,,
L3027133.1,SX3027133A,226101449A0a;226101449A0b,4.2227777916193;4.6472222083807,,
L2691944.1,SX2691944A,321838A0a;321838A0b,8.05856907963753;0.811430920362472,,
L2745806.3,SX2745806C,226194262C0a;226194262C0b,2.90835826635361;7.26164173364639,,
L2878848.3,SX2878848C,2212168887C0a;2212168887C0b,8.53182919383049;6.72817080616951,,
L2991909.1,SX2991909A,355773A0a;355773A0b,4.96801738083363;3.90198261916637,,
L2726973.1,SX2726973A,226192926A0a;226192926A0b,3.64909385859966;5.22090614140034,,
L2691947.1,SX2691947A,337718A0a;337718A0b,1.49671168327332;2.05328831672668,,
L2952007.3,SX2952007C,251859C0a;251859C0b,2.24143562614918;7.92856437385082,,
L3198347.3,SX3198347C,260622C0a;260622C0b,0.962270700931549;5.13772929906845,PV_1171,6.1
L2916625.2,SX2916625B,21467859B0a;21467859B0b,7.80976287126541;6.78023712873459,,
L2820533.1,SX2820533A,226193298A0a;226193298A0b,4.84881979823112;4.02118020176887,,
L2785531.1,SX2785531A,21399809A0a;21399809A0b,1.64908522367477;3.67091477632523,,
L3120502.1,SX3120502A,294812A0a;294812A0b,2.66032121896744;2.65967878103256,,
L3252336.2,SX3252336B,226308723B0a;226308723B0b,4.04415035426617;10.5458496457338,PV_1155,14.59
L2954353.1,SX2954353A,338945A0a;338945A0b,0.417226168513298;8.4527738314867,,
L2673312.1,SX2673312A,321837A0a;321837A0b,1.58399390280247;7.28600609719753,,
L2766720.1,SX2766720A,441311A0a;441311A0b,8.13360491931438;0.736395080685616,,
L2879070.2,SX2879070B,338934B0a;338934B0b,0.925667939186096;4.9143320608139,,
L3179674.2,SX3179674B,157716B0a;157716B0b,8.17862984657288;1.55137015342712,,
L3029506.2,SX3029506B,338930B0a;338930B0b,3.6238262873888;0.266173712611198,,
L3216348.1,SX3216348A,337717A0a;337717A0b,1.94792287111282;3.37207712888718,,
L3048231.2,SX3048231B,21400215B0a;21400215B0b,17.4387577027082;2.01124229729176,,
L3065696.1,SX3065696A,227921416A0a;227921416A0b,8.59762995243072;0.272370047569275,,
L3178974.2,SX3178974B,323399B0a;323399B0b,2.06291854381561;3.77708145618439,,
L2916607.3,SX2916607C,321882C0a;321882C0b,2.63038507819176;7.53961492180824,,
L3197652.1,SX3197652A,339021A0a;339021A0b,1.30811174631119;7.56188825368881,,
L2691939.2,SX2691939B,355589B0a;355589B0b,3.01688635587692;6.71311364412308,,
L2858175.1,SX2858175A,225668688A0a;225668688A0b,3.81886322259903;1.50113677740097,,
L3085400.3,SX3085400C,302803C0a;302803C0b,1.67722884535789;8.4927711546421,,
L3178969.2,SX3178969B,355596B0a;355596B0b,5.06768116950989;0.772318830490113,,
L2748139.2,SX2748139B,21400108B0a;21400108B0b,5.18620724201202;0.653792757987976,,
L3235242.3,SX3235242C,21380500C0a;21380500C0b,6.54957874417305;3.62042125582695,,
L2729412.1,SX2729412A,2150189A0a;2150189A0b,3.68911276161671;5.18088723838329,,
L3082981.3,SX3082981C,226193737C0a;226193737C0b,1.13912661075592;4.96087338924408,,
L2766747.1,SX2766747A,391989A0a;391989A0b,1.42326323986053;7.44673676013946,,
L3179646.2,SX3179646B,328365B0a;328365B0b,10.0775998991728;4.51240010082722,,
L3235251.3,SX3235251C,21387206C0a;21387206C0b,3.85298192501068E-02;6.06147018074989,,
L2766749.2,SX2766749B,337661B0a;337661B0b,7.25677626669407;2.47322373330593,,
L3010568.1,SX3010568A,338965A0a;338965A0b,0.260335404276848;8.60966459572315,,
L2991902.2,SX2991902B,391748B0a;391748B0b,1.71710975706577;8.01289024293423,,
L2954348.1,SX2954348A,356013A0a;356013A0b,5.30683200359344;3.56316799640655,,
L2860484.2,SX2860484B,323255B0a;323255B0b,5.20196915626526;0.638030843734741,,
L2879078.1,SX2879078A,21399229A0a;21399229A0b,1.81092821359634;3.50907178640366,PV_1163,5.32
L3649301.1,SX3649301A,2224237643A0a;2224237643A0b,10.9579015016556;2.34209849834442,,
L2804252.1,SX2804252A,302473A0a;302473A0b,0.624141354560852;8.24585864543915,PV_1029,8.87
